cusip,maturity,coupon,ask_yield,sa_yield,sao_yield
91282CDC2,2026-10-15,0.0012500,0.0255575,0.0112567,0.0117822
912810PS1,2027-01-15,0.0237500,0.0260355,0.0114084,0.0138233
912828V49,2027-01-15,0.0037500,0.0258528,0.0111891,0.0143530
91282CEJ6,2027-04-15,0.0012500,0.0263804,0.0144957,0.0150419
9128282L3,2027-07-15,0.0037500,0.0199751,0.0181227,0.0183032
91282CFR7,2027-10-15,0.0162500,0.0205541,0.0190104,0.0190605
912810PV4,2028-01-15,0.0175000,0.0230726,0.0190799,0.0190435
9128283R9,2028-01-15,0.0050000,0.0230422,0.0190700,0.0189760
912810FD5,2028-04-15,0.0362500,0.0232967,0.0186580,0.0186744
91282CGW5,2028-04-15,0.0125000,0.0232032,0.0186216,0.0186830
912828Y38,2028-07-15,0.0075000,0.0197446,0.0188790,0.0189371
91282CJH5,2028-10-15,0.0237500,0.0200366,0.0192095,0.0191562
912810PZ5,2029-01-15,0.0250000,0.0214138,0.0190712,0.0190102
9128285W6,2029-01-15,0.0087500,0.0212712,0.0189625,0.0188797
912810FH6,2029-04-15,0.0387500,0.0217623,0.0188380,0.0188723
91282CKL4,2029-04-15,0.0212500,0.0217195,0.0188439,0.0189172
9128287D6,2029-07-15,0.0025000,0.0196406,0.0190778,0.0191204
91282CLV1,2029-10-15,0.0162500,0.0200983,0.0195349,0.0194235
912828Z37,2030-01-15,0.0012500,0.0208857,0.0192724,0.0192897
91282CNB3,2030-04-15,0.0162500,0.0214185,0.0193306,0.0193895
912828ZZ6,2030-07-15,0.0012500,0.0200661,0.0196490,0.0196392
91282CPH8,2030-10-15,0.0112500,0.0202913,0.0198648,0.0197884
91282CBF7,2031-01-15,0.0012500,0.0209652,0.0197201,0.0197412
91282CQP9,2031-04-15,0.0125000,0.0215915,0.0199538,0.0199351
91282CCM1,2031-07-15,0.0012500,0.0204610,0.0201292,0.0200960
91282CDX6,2032-01-15,0.0012500,0.0215262,0.0205119,0.0204786
912810FQ6,2032-04-15,0.0337500,0.0218554,0.0204332,0.0204914
91282CEZ0,2032-07-15,0.0062500,0.0212410,0.0209616,0.0209390
91282CGK1,2033-01-15,0.0112500,0.0221083,0.0212263,0.0212544
91282CHP9,2033-07-15,0.0137500,0.0220162,0.0217708,0.0217463
91282CJY8,2034-01-15,0.0175000,0.0228580,0.0220750,0.0220750
91282CLE9,2034-07-15,0.0187500,0.0227709,0.0225513,0.0225513
91282CML2,2035-01-15,0.0212500,0.0235458,0.0228406,0.0228406
91282CNS6,2035-07-15,0.0187500,0.0235949,0.0233981,0.0233981
91282CPU9,2036-01-15,0.0187500,0.0243102,0.0236792,0.0236792
91282CRE3,2036-07-15,0.0237500,0.0243604,0.0241781,0.0241781
912810QF8,2040-02-15,0.0212500,0.0265944,0.0258469,0.0258469
912810QP6,2041-02-15,0.0212500,0.0272032,0.0264990,0.0264990
912810QV3,2042-02-15,0.0075000,0.0283623,0.0277557,0.0277557
912810RA8,2043-02-15,0.0062500,0.0288698,0.0283029,0.0283029
912810RF7,2044-02-15,0.0137500,0.0292781,0.0287043,0.0287043
912810RL4,2045-02-15,0.0075000,0.0296959,0.0291784,0.0291784
912810RR1,2046-02-15,0.0100000,0.0299357,0.0294288,0.0294288
912810RW0,2047-02-15,0.0087500,0.0300296,0.0295502,0.0295502
912810SB5,2048-02-15,0.0100000,0.0301404,0.0296737,0.0296737
912810SG4,2049-02-15,0.0100000,0.0301307,0.0296813,0.0296813
912810SM1,2050-02-15,0.0025000,0.0302218,0.0298312,0.0298312
912810SV1,2051-02-15,0.0012500,0.0302895,0.0299222,0.0299222
912810TE8,2052-02-15,0.0012500,0.0301502,0.0297968,0.0297968
912810TP3,2053-02-15,0.0150000,0.0302469,0.0298281,0.0298281
912810TY4,2054-02-15,0.0212500,0.0303179,0.0298837,0.0298837
912810UH9,2055-02-15,0.0237500,0.0302646,0.0298315,0.0298315
912810US5,2056-02-15,0.0237500,0.0301390,0.0297158,0.0297158
