,,,,CUSIP,Maturity,Coupon,Yield (SAO),FY,Qty,Principal per bond,Int per bnd (last year),P+I per bnd,,Adj Ask per bond,Adj ask cost,Acc int cost,Total cost,Principal,Intererest (last year),P+I,Interest later maturities,Interest total, ARA,Interest annual,,Modified duration,Duration
DARA,"47,508",,,91282CCA7,Apr 2026,0.125%,1.72%,,,"1,236",1,"1,237",,"1,237",,,,0,0,0,,0,0,0,,0.2,0.2
First funded year,2026,,,912828S50,Jul 2026,0.125%,0.20%,,,"1,352",2,"1,354",,"1,356",,,,0,0,0,,0,0,0,,0.4,0.4
Last funded year,2052,,,91282CDC2,Oct 2026,0.125%,-0.45%,2026,29,"1,186",1,"1,187",,"1,186","34,391",15,"34,406","34,394",43,"34,437","12,958","13,001","47,395",43,,#NUM!,#NUM!
TIPS choice,Latest,,,912828V49,Jan 2027,0.375%,0.31%,,,"1,342",3,"1,344",,"1,336",,,,0,0,0,,0,0,0,,0.9,0.9
,,,,912810PS1,Jan 2027,2.375%,0.30%,,,"1,607",19,"1,626",,"1,630",,,,0,0,0,,0,0,0,,0.9,0.9
Funded years,27,,,91282CEJ6,Apr 2027,0.125%,1.20%,,,"1,148",1,"1,149",,"1,136",,,,0,0,0,,0,0,0,,1.1,1.2
Gap years,3,,,9128282L3,Jul 2027,0.375%,0.88%,,,"1,325",5,"1,330",,"1,321",,,,0,0,0,,0,0,0,,1.4,1.4
Sum DARA,"1,282,715",,,91282CFR7,Oct 2027,1.625%,0.56%,2027,32,"1,094",18,"1,112",,"1,111","35,539",195,"35,734","35,009",569,"35,578","12,389","12,958","47,967",569,,1.6,1.6
 total (sum ARA),"1,281,795",,,9128283R9,Jan 2028,0.500%,0.82%,,,"1,314",3,"1,317",,"1,303",,,,0,0,0,,0,0,0,,1.9,1.9
,,,,912810PV4,Jan 2028,1.750%,0.81%,,,"1,547",14,"1,560",,"1,571",,,,0,0,0,,0,0,0,,1.9,1.9
Gap average duration,10.645,,,91282CGW5,Apr 2028,1.250%,1.24%,,,"1,080",7,"1,087",,"1,085",,,,0,0,0,,0,0,0,,2.1,2.1
Gap total $ (adj cost),"123,000",,,912810FD5,Apr 2028,3.625%,1.20%,,,"2,004",36,"2,040",,"2,116",,,,0,0,0,,0,0,0,,2.1,2.1
,,,,912828Y38,Jul 2028,0.750%,1.05%,,,"1,291",10,"1,301",,"1,289",,,,0,0,0,,0,0,0,,2.4,2.4
,Lower,Upper,,91282CJH5,Oct 2028,2.375%,0.83%,2028,33,"1,058",25,"1,083",,"1,099","36,277",285,"36,562","34,917",829,"35,746","11,560","12,389","47,306",829,,2.6,2.6
Maturity,Jul 2032,Feb 2040,,912810PZ5,Jan 2029,2.500%,0.95%,,,"1,509",19,"1,528",,"1,573",,,,0,0,0,,0,0,0,,2.8,2.8
