CUSIP,Qty,Maturity,FY,Principal FY,Interest FY,ARA FY,Cost FY,Target Qty,Qty Delta,Target Cost,Cost Delta,ARA FY (FY Only),ARA-DARA Before,ARA FY Post,ARA-DARA After,,Parameters,,,
91282CCA7,33,4/15/2026,2026,"40,780","11,282","52,062","40,806",,,,,"51,512","-1,631","52,960",-182,,  Settlement Date,2/19/2026,,
91282CEJ6,33,4/15/2027,2027,"37,878","11,233","49,111","37,490",,,,,"48,560","-4,582","50,009","-3,134",,  RefCPI,324.07829,,
9128283R9,10,1/15/2028,,,,,,,,,,,,,,,  DARA,"53,143",,
91282CGW5,8,4/15/2028,,,,,,,,,,,,,,,  First Year,2026,,
912828Y38,14,7/15/2028,2028,"39,857","11,123","50,979","39,722",,,,,"50,429","-2,714","51,877","-1,265",,  Last Year,2052,,
9128285W6,8,1/15/2029,,,,,,,,,,,,,,,  Rungs,24,,
9128287D6,24,7/15/2029,2029,"40,675","10,855","51,530","39,860",,,,,"50,979","-2,163","52,428",-715,,,,,
912828Z37,13,1/15/2030,,,,,,,,,,,,,,,Duration Matching Verification,,,
912828ZZ6,21,7/15/2030,2030,"42,919","10,724","53,643","41,143",,,,,"53,093",-50,"54,541","1,399",,,,,
91282CBF7,13,1/15/2031,,,,,,,,,,,,,,,Gap Avg Duration,11,,
91282CCM1,19,7/15/2031,2031,"39,158","10,671","49,829","36,953",,,,,"49,278","-3,864","50,727","-2,416",,Gap Total Cost,"141,000",,
91282CDX6,9,1/15/2032,,,,,,,,,,,,,,,,,,
91282CEZ0,72,7/15/2032,2032,"90,831","10,625","101,456","86,476",60,-12,"30,891","12,261","52,943",-199,"54,392","1,249",,Lower Bracket (2032),,,
91282CGK1,8,1/15/2033,,,,,,33,25,"35,078","-26,574",,,,,,  Duration,6,,
91282CHP9,6,7/15/2033,2033,"15,106","10,068","25,174","14,860",,,,,"24,923","-28,219","53,418",275,,  Current Qty,72,,
91282CJY8,22,1/15/2034,2034,"23,194","9,728","32,922","23,478",40,18,"42,687","-19,209","32,671","-20,471","52,625",-518,,  Post-Rebal Qty,60,,
91282CML2,22,1/15/2035,2035,"22,592","9,285","31,877","23,406",42,20,"44,683","-21,278","31,626","-21,517","52,756",-386,,  Target FY Qty,29,,
91282CPU9,25,1/15/2036,2036,"24,934","8,811","33,745","25,165",45,20,"45,297","-20,132","33,494","-19,648","53,629",486,,  Excess Qty (before),43,,
912810QF8,121,2/15/2040,2040,"181,427","6,650","188,076","183,732",103,-18,"48,590","27,683","53,212",70,"53,212",70,,  Excess $ (before),"45,803",,
912810QP6,29,2/15/2041,2041,"42,916","4,266","47,182","43,073",,,,,"47,182","-5,960","47,182","-5,960",,  Excess Qty (after),31,,
912810QV3,30,2/15/2042,2042,"43,027","3,649","46,675","34,509",,,,,"46,675","-6,467","46,675","-6,467",,  Excess $ (after),"33,021",,
912810RA8,31,2/15/2043,2043,"43,697","3,351","47,048","33,579",,,,,"47,048","-6,095","47,048","-6,095",,,,,
912810RF7,31,2/15/2044,2044,"43,107","2,918","46,025","37,165",,,,,"46,025","-7,118","46,025","-7,118",,Upper Bracket (2040),,,
912810RL4,24,2/15/2045,2045,"33,030","2,498","35,527","24,873",,,,,"35,527","-17,615","35,527","-17,615",,  Duration,12,,
912810RR1,33,2/15/2046,2046,"45,135","2,148","47,283","35,117",,,,,"47,283","-5,859","47,283","-5,859",,  Current Qty,121,,
912810RW0,28,2/15/2047,2047,"37,591","1,758","39,349","28,028",,,,,"39,349","-13,794","39,349","-13,794",,  Post-Rebal Qty,103,,
912810SB5,33,2/15/2048,2048,"43,369","1,377","44,745","32,767",,,,,"44,745","-8,397","44,745","-8,397",,  Target FY Qty,32,,
912810SG4,61,2/15/2049,2049,"78,561",767,"79,328","58,520",,,,,"79,328","26,186","79,328","26,186",,  Excess Qty (before),89,,
912810SM1,33,2/15/2050,2050,"41,598",322,"41,920","24,931",,,,,"41,920","-11,223","41,920","-11,223",,  Excess $ (before),"135,141",,
