Date ->,03/24/26,CUSIP,SECURITY TYPE,RATE,MATURITY DATE,CALL DATE,BUY,SELL,END OF DAY,,Type,Buy yield,Sell yield,EOD yield,Bid/ask yield spread,Bid/ask price spread
Formul to use ->,03/24/26,912797SC2,MARKET BASED BILL,0.000%,03/26/26,,0.000000,99.980389,0.000000,,BILL,,3.580%,,,
,,912797TB3,MARKET BASED BILL,0.000%,03/31/26,,99.930486,99.930389,0.000000,,BILL,3.627%,3.632%,,0.005%,0.0001%
Recent workday ->,3/24/2026,912797SD0,MARKET BASED BILL,0.000%,04/02/26,,99.910625,99.910250,0.000000,,BILL,3.628%,3.643%,,0.015%,0.0004%
Settlement date,3/25/2026,912797TG2,MARKET BASED BILL,0.000%,04/07/26,,99.860194,99.859611,0.000000,,BILL,3.650%,3.665%,,0.015%,0.0006%
"^ not required for this sheet, but useful elsewhere",,912797SL2,MARKET BASED BILL,0.000%,04/09/26,,99.840222,99.840000,0.000000,,BILL,3.651%,3.656%,,0.005%,0.0002%
,,912797TH0,MARKET BASED BILL,0.000%,04/14/26,,99.789708,99.789417,0.000000,,BILL,3.663%,3.668%,,0.005%,0.0003%
,,912797QD2,MARKET BASED BILL,0.000%,04/16/26,,99.769361,99.768722,0.000000,,BILL,3.669%,3.679%,,0.010%,0.0006%
,,912797TJ6,MARKET BASED BILL,0.000%,04/21/26,,99.718833,99.718444,0.000000,,BILL,3.676%,3.681%,,0.005%,0.0004%
,,912797SM0,MARKET BASED BILL,0.000%,04/23/26,,99.699583,99.699167,0.000000,,BILL,3.666%,3.671%,,0.005%,0.0004%
,,912797TK3,MARKET BASED BILL,0.000%,04/28/26,,99.649028,99.648056,0.000000,,BILL,3.673%,3.683%,,0.010%,0.0010%
,,912797SN8,MARKET BASED BILL,0.000%,04/30/26,,99.628458,99.627944,0.000000,,BILL,3.679%,3.684%,,0.005%,0.0005%
,,912797TL1,MARKET BASED BILL,0.000%,05/05/26,,99.578250,99.577667,0.000000,,BILL,3.681%,3.686%,,0.005%,0.0006%
,,912797SP3,MARKET BASED BILL,0.000%,05/07/26,,99.557556,99.556333,0.000000,,BILL,3.687%,3.697%,,0.010%,0.0012%
,,912797TR8,MARKET BASED BILL,0.000%,05/12/26,,99.507958,99.507278,0.000000,,BILL,3.683%,3.688%,,0.005%,0.0007%
,,912797QN0,MARKET BASED BILL,0.000%,05/14/26,,99.489292,99.488583,0.000000,,BILL,3.674%,3.679%,,0.005%,0.0007%
,,912797TS6,MARKET BASED BILL,0.000%,05/19/26,,99.437667,99.436889,0.000000,,BILL,3.686%,3.691%,,0.005%,0.0008%
,,912797SV0,MARKET BASED BILL,0.000%,05/21/26,,99.417583,99.416778,0.000000,,BILL,3.687%,3.692%,,0.005%,0.0008%
,,912797TT4,MARKET BASED BILL,0.000%,05/26/26,,99.369125,99.368250,0.000000,,BILL,3.678%,3.683%,,0.005%,0.0009%
,,912797SW8,MARKET BASED BILL,0.000%,05/28/26,,99.345486,99.344583,0.000000,,BILL,3.700%,3.705%,,0.005%,0.0009%
,,912797TU1,MARKET BASED BILL,0.000%,06/02/26,,99.298056,99.296111,0.000000,,BILL,3.686%,3.696%,,0.010%,0.0020%
,,912797SX6,MARKET BASED BILL,0.000%,06/04/26,,99.277000,99.276000,0.000000,,BILL,3.692%,3.697%,,0.005%,0.0010%
,,912797TZ0,MARKET BASED BILL,0.000%,06/09/26,,99.226792,99.225722,0.000000,,BILL,3.694%,3.699%,,0.005%,0.0011%
,,912797QX8,MARKET BASED BILL,0.000%,06/11/26,,99.207806,99.205611,0.000000,,BILL,3.689%,3.700%,,0.010%,0.0022%
,,912797UA3,MARKET BASED BILL,0.000%,06/16/26,,99.161167,99.160000,0.000000,,BILL,3.676%,3.681%,,0.005%,0.0012%
,,912797TD9,MARKET BASED BILL,0.000%,06/18/26,,99.138806,99.137611,0.000000,,BILL,3.687%,3.692%,,0.005%,0.0012%
,,912797UB1,MARKET BASED BILL,0.000%,06/23/26,,99.090000,99.087472,0.000000,,BILL,3.684%,3.694%,,0.010%,0.0026%
,,912797TE7,MARKET BASED BILL,0.000%,06/25/26,,99.067417,99.064833,0.000000,,BILL,3.695%,3.705%,,0.010%,0.0026%
,,912797UC9,MARKET BASED BILL,0.000%,06/30/26,,99.020000,99.017278,0.000000,,BILL,3.686%,3.696%,,0.010%,0.0027%
,,912797TF4,MARKET BASED BILL,0.000%,07/02/26,,98.997222,98.994444,0.000000,,BILL,3.697%,3.708%,,0.010%,0.0028%
,,912797UN5,MARKET BASED BILL,0.000%,07/07/26,,98.947083,98.944167,0.000000,,BILL,3.699%,3.709%,,0.010%,0.0029%
